temp,windspeed,cnt
0.22,0.3284,115
0.22,0.3284,57
0.26,0.3284,46
0.26,0.3284,79
0.28,0.2985,71
0.3,0.194,62
0.3,0.194,62
0.3,0.0896,89
0.24,0.194,190
0.24,0.1343,169
0.24,0.1045,132
0.22,0.1642,89
0.2,0.194,43
0.18,0.1343,42
0.2,0,19
0.18,0,11
0.16,0,4
0.16,0,2
0.16,0.0896,1
0.14,0.0896,4
0.14,0.1045,36
0.16,0,95
0.16,0,219
0.18,0,122
0.2,0,45
0.22,0.0896,59
0.26,0,84
0.26,0.1045,67
0.28,0.1642,70
0.28,0,62
0.26,0.1642,86
0.22,0.1642,172
0.22,0.1343,163
0.22,0.0896,112
0.2,0.1642,69
0.22,0.2239,48
0.22,0.2836,52
0.2,0.194,23
0.2,0.194,17
0.2,0.2239,7
0.2,0.2239,1
0.2,0.1343,1
0.22,0,5
0.2,0,34
0.2,0.1343,84
0.2,0.2537,210
0.2,0.2985,134
0.22,0.3284,63
0.2,0.2239,67
0.2,0.2537,59
0.2,0.2836,73
0.2,0.2537,50
0.2,0.1642,72
0.2,0.1642,87
0.2,0,187
0.2,0.0896,123
0.16,0.0896,95
0.18,0.1045,51
0.18,0.1343,39
0.18,0.1642,36
0.18,0.1642,15
0.18,0.1642,25
0.18,0.0896,16
0.18,0,16
0.18,0.1642,7
0.18,0.1642,1
0.16,0.1642,5
0.16,0.1642,2
0.16,0.1045,9
0.16,0.1045,15
0.16,0.1045,20
0.18,0.1642,61
0.2,0.3881,62
0.2,0.3582,98
0.2,0.3284,102
0.2,0.4925,95
0.2,0.4478,74
0.18,0.4478,76
0.16,0.5522,69
0.14,0.2985,55
0.14,0.2537,30
0.12,0.2537,28
0.12,0.3582,37
0.12,0.3881,34
0.1,0.4478,22
0.1,0.3881,25
0.1,0.4627,12
0.1,0.4627,11
0.1,0.4179,4
0.08,0.194,1
0.08,0.194,1
0.1,0.2836,1
0.08,0.194,6
0.1,0.2836,10
0.12,0.5224,19
0.14,0.3881,49
0.16,0.5224,49
0.18,0.4478,83
0.2,0.4478,75
0.22,0.4627,72
0.22,0.3582,82
0.2,0.4478,92
0.18,0.3881,62
0.16,0.3284,48
0.16,0.3284,41
0.14,0.2537,38
0.14,0.4179,20
0.14,0.2985,15
0.12,0.194,6
0.12,0.2836,5
0.12,0.2836,1
0.12,0.2239,3
0.12,0.2239,1
0.1,0.1343,3
0.1,0.2537,3
0.12,0.2836,31
0.12,0.2239,77
0.12,0.2836,188
0.14,0.2537,94
0.14,0.2985,31
0.16,0.2836,30
0.2,0.2836,52
0.2,0.2836,54
0.2,0.2239,47
0.2,0.2239,45
0.2,0.1343,74
0.2,0.1045,178
0.2,0.2239,155
0.16,0.1642,95
0.16,0.1642,74
0.14,0.194,38
0.14,0.1642,24
0.14,0.1642,18
0.14,0.1045,12
0.14,0.1642,3
0.16,0.194,3
0.16,0.1343,6
0.16,0.1343,27
0.16,0,99
0.18,0.0896,217
0.18,0.1642,130
0.2,0.1642,54
0.2,0.1343,35
0.2,0.1045,57
0.2,0.0896,52
0.2,0.0896,63
0.16,0.0896,47
0.16,0.2239,76
0.16,0.2239,136
0.16,0.1045,95
0.16,0,51
0.16,0.194,32
0.16,0.0896,20
0.16,0.1045,29
0.16,0.0896,19
0.16,0.0896,7
0.16,0.1045,6
0.14,0.1343,1
0.14,0.1642,5
0.12,0.1343,16
0.14,0.1343,54
0.16,0.1642,128
0.16,0.3284,81
0.18,0.2239,39
0.2,0.3881,35
0.2,0.5821,55
0.22,0.3582,49
0.2,0.3284,44
0.2,0.4179,49
0.22,0.3284,68
0.2,0.3582,139
0.2,0.5224,137
0.18,0.4179,83
0.16,0.3284,56
0.16,0.3284,57
0.16,0.4478,33
0.14,0.4179,20
0.14,0.2836,7
0.14,0.2836,2
0.14,0.3582,2
0.14,0.3284,3
0.14,0.2537,4
0.14,0.2985,3
0.12,0.1343,28
0.12,0.1343,72
0.14,0.194,202
0.14,0.3284,139
0.16,0.3582,38
0.2,0.4478,37
0.2,0.4179,52
0.22,0.4478,83
0.22,0.3881,42
0.24,0.2985,60
0.24,0.3582,78
0.2,0.2836,162
0.2,0.3284,144
0.16,0.2537,99
0.16,0.2239,64
0.14,0.2985,40
0.14,0.3284,30
0.12,0.194,15
0.12,0.194,14
0.1,0.1642,5
0.1,0.1343,1
0.1,0.1045,1
0.1,0.0896,8
0.1,0,17
0.1,0.1642,70
0.12,0,158
0.14,0.1343,117
0.18,0.194,44
0.18,0.2836,53
0.2,0.2537,61
0.22,0.3881,77
0.22,0.2836,64
0.24,0.1642,68
0.22,0.1045,90
0.22,0.1642,159
0.2,0,139
0.16,0.0896,92
0.18,0,68
0.16,0,52
0.16,0,36
0.18,0,27
0.18,0,28
0.16,0.0896,20
0.16,0.0896,12
0.16,0,8
0.16,0,5
0.16,0,1
0.14,0.1045,3
0.14,0,10
0.14,0.1343,23
0.16,0.1343,33
0.18,0.1642,59
0.2,0.2239,72
0.24,0.2239,89
0.28,0.2985,101
0.3,0.2836,118
0.32,0.194,129
0.34,0.194,128
0.32,0.2836,83
0.3,0.2537,84
0.32,0.2537,74
0.32,0.2537,41
0.32,0.2239,57
0.3,0.1045,26
0.3,0.2836,44
0.26,0,39
0.26,0.1343,23
0.26,0.0896,16
0.22,0,15
0.26,0.1642,1
0.26,0.1642,2
0.26,0.1642,1
0.24,0.2985,3
0.22,0.2836,18
0.22,0.2537,32
0.22,0.2836,79
0.24,0.2537,93
0.24,0.2836,104
0.26,0.2985,118
0.28,0.2537,91
0.26,0.2537,113
0.24,0.2239,99
0.22,0.2537,105
0.2,0.1642,67
0.18,0.1343,61
0.18,0.1642,57
0.18,0.1642,28
0.2,0.1343,21
0.2,0.1045,18
0.2,0.2239,17
0.2,0.194,16
0.18,0.2537,8
0.18,0.194,2
0.18,0.1343,3
0.18,0.1642,1
0.18,0.194,5
0.16,0.1343,13
0.16,0.2239,33
0.16,0.2239,47
0.16,0.2537,57
0.16,0.194,64
0.18,0.1343,80
0.18,0.1343,93
0.18,0.1045,86
0.2,0.1642,93
0.2,0.1642,82
0.2,0.194,71
0.18,0.2537,92
0.18,0.194,60
0.16,0.194,33
0.16,0.194,27
0.14,0.2537,13
0.16,0.2836,4
0.2,0.3284,3
0.2,0.2239,22
0.22,0.1642,28
0.22,0.1642,35
0.22,0.194,61
0.22,0.194,125
0.22,0.1642,133
0.22,0.1343,99
0.22,0,83
0.22,0.1045,41
0.22,0.0896,33
0.22,0,20
0.22,0,3
0.22,0.1343,7
0.22,0.1343,3
0.22,0.1343,2
0.22,0.0896,7
0.22,0.0896,32
0.24,0.1045,90
0.24,0.1045,197
0.24,0.1045,109
0.26,0.1343,47
0.28,0.0896,52
0.3,0.0896,70
0.4,0.2836,78
0.4,0.2537,75
0.4,0.2836,82
0.38,0.3881,104
0.36,0.3284,197
0.34,0.2836,161
0.32,0.4179,112
0.32,0.2985,76
0.32,0.4179,59
0.3,0.1642,59
0.3,0.4627,28
0.26,0.3881,13
0.26,0,5
0.26,0,2
0.26,0.1642,1
0.26,0.1642,1
0.24,0.2239,6
0.22,0.2239,35
0.22,0.2239,101
0.22,0.2836,249
0.24,0.2239,143
0.26,0.2985,57
0.28,0.1642,68
0.3,0,84
0.28,0.1045,98
0.3,0.1343,81
0.32,0.194,70
0.3,0.1343,91
0.3,0.1045,215
0.26,0.194,185
0.26,0.3284,152
0.26,0.2836,126
0.24,0.2537,57
0.24,0.2836,56
0.24,0.3284,31
0.24,0.2537,21
0.24,0.2537,6
0.24,0.1642,2
0.22,0.2985,1
0.22,0.0896,1
0.24,0.4179,5
0.22,0.2537,27
0.2,0.2836,68
0.2,0.3284,217
0.2,0.3582,166
0.2,0.4627,63
0.22,0.4627,59
0.22,0.5821,78
0.2,0.5821,73
0.2,0.5224,62
0.16,0.4478,65
0.16,0.3582,97
0.14,0.3582,161
0.12,0.2537,120
0.12,0.3284,96
0.1,0.4179,53
0.08,0.2836,41
0.06,0.3881,34
0.06,0.3284,27
0.04,0.2537,13
0.04,0.3881,12
0.04,0.2537,11
0.04,0.2836,7
0.02,0.2985,3
0.02,0.2239,2
0.02,0.2836,8
0.02,0.3284,27
0.04,0.2537,40
0.04,0.1642,53
0.06,0.1343,63
0.06,0.1045,70
0.08,0,84
0.1,0.1045,75
0.12,0,103
0.12,0.194,83
0.12,0,67
0.08,0.194,54
0.08,0.1343,59
0.06,0.1642,45
0.06,0.0896,39
0.06,0,30
0.04,0.1045,33
0.04,0.1045,22
0.04,0.1045,13
0.02,0.1343,18
0.02,0.1343,5
0.04,0.1045,3
0.04,0.1045,1
0.08,0.1642,2
0.06,0.1642,19
0.1,0.3582,28
0.14,0.3881,58
0.14,0.2239,99
0.16,0.4627,116
0.14,0.3881,87
0.16,0.3582,110
0.16,0.3582,77
0.16,0.3284,65
0.14,0.3881,55
0.12,0.2537,49
0.12,0.2836,50
0.1,0.2537,35
0.1,0.194,25
0.08,0.194,28
0.06,0.2239,21
0.06,0.194,7
0.04,0.194,1
0.04,0.2537,1
0.02,0.1343,1
0.02,0.1343,5
0.02,0.0896,15
0.02,0,84
0.04,0,177
0.06,0,102
0.1,0,40
0.1,0.1343,46
0.12,0.194,63
0.14,0.2239,60
0.14,0.2239,45
0.16,0.1642,57
0.16,0.2537,70
0.14,0.2537,184
0.14,0.194,153
0.14,0.1642,106
0.14,0.194,81
0.14,0.1642,59
0.14,0.2239,35
0.16,0.2537,24
0.16,0.2836,9
0.16,0.1642,5
0.16,0.2239,2
0.14,0.1045,1
0.14,0.2239,9
0.16,0.1045,36
0.16,0.2239,108
0.16,0.1343,238
0.2,0.0896,144
0.22,0.1045,55
0.24,0.1343,61
0.26,0.0896,106
0.26,0.1343,93
0.3,0,68
0.32,0,84
0.32,0,116
0.3,0,222
0.3,0.0896,225
0.26,0.1642,146
0.24,0.194,119
0.24,0.194,45
0.22,0.1642,53
0.22,0.1642,40
0.22,0.1343,17
0.24,0.1343,5
0.22,0.194,10
0.2,0.2836,1
0.2,0.2836,8
0.22,0.2985,30
0.22,0.2985,72
0.22,0.2985,58
0.22,0.2836,28
0.22,0.3284,41
0.22,0.3284,48
0.22,0.3284,47
0.22,0.3582,36
0.22,0.4627,43
0.22,0.3284,36
0.2,0.3582,26
0.22,0.194,24
0.22,0.1045,84
0.2,0.0896,104
0.2,0.0896,79
0.18,0.0896,59
0.18,0.0896,38
0.18,0.0896,27
0.18,0.1642,16
0.2,0.1343,9
0.2,0.1343,3
0.2,0.1642,2
0.2,0.1045,1
0.18,0.1045,4
0.18,0.1343,16
0.16,0.0896,60
0.16,0.0896,157
0.18,0.0896,101
0.18,0.1045,49
0.18,0.1045,30
0.18,0.1045,29
0.18,0.1045,31
0.22,0,38
0.2,0,41
0.22,0,80
0.24,0.1343,149
0.24,0.194,109
0.24,0.1343,89
0.24,0.194,62
0.22,0.1343,58
0.24,0.3582,26
0.24,0.2239,23
0.22,0.3582,28
0.22,0.194,20
0.22,0.1642,15
0.2,0.1343,8
0.16,0.1045,3
0.16,0.1343,2
0.16,0.1045,5
0.18,0.1642,34
0.18,0.0896,34
0.18,0.1045,55
0.18,0.1343,64
0.2,0.194,78
0.22,0.1642,65
0.22,0.1343,99
0.22,0.2537,120
0.24,0.1642,107
0.24,0,91
0.22,0.1343,68
0.22,0.2537,58
0.18,0.0896,43
0.18,0.0896,36
0.16,0.0896,32
0.16,0.0896,33
0.16,0.1045,33
0.14,0,29
0.16,0,11
0.14,0,8
0.14,0,1
0.14,0,3
0.14,0,3
0.14,0,12
0.16,0,38
0.18,0,64
0.22,0,59
0.3,0.1045,97
0.28,0.1045,84
0.28,0.0896,122
0.3,0,109
0.3,0,123
0.3,0.194,77
0.26,0.1642,65
0.26,0.194,55
0.26,0.1045,33
0.24,0.1642,28
0.24,0.194,21
0.24,0.2836,21
0.24,0.2239,7
0.22,0.2537,7
0.22,0.194,1
0.22,0.194,2
0.2,0.2239,2
0.18,0.2836,8
0.16,0.3284,37
0.16,0.2836,72
0.16,0.2836,185
0.16,0.2985,112
0.16,0.194,69
0.16,0.194,48
0.18,0.1045,68
0.16,0,54
0.18,0.1343,86
0.16,0.1343,44
0.16,0.194,86
0.16,0.194,161
0.16,0.2239,156
0.3,0.1045,111
0.16,0.1642,78
0.16,0.0896,56
0.16,0.1045,34
0.16,0.0896,17
0.16,0.1045,8
0.16,0.1045,3
0.16,0,2
0.16,0,2
0.14,0,3
0.14,0,22
0.16,0,52
0.16,0,135
0.16,0,116
0.16,0,47
0.18,0,51
0.2,0,55
0.2,0,52
0.22,0.0896,54
0.24,0,52
0.24,0.1343,64
0.24,0,176
0.24,0.1045,168
0.24,0.1343,108
0.22,0.1343,74
0.22,0.1343,64
0.22,0.0896,36
0.2,0.194,16
0.22,0.1045,2
0.22,0.194,3
0.22,0.1343,4
0.22,0.1343,1
0.22,0.2836,1
0.22,0.1045,3
0.22,0.1045,18
0.22,0.2239,49
0.22,0.2239,155
0.24,0.0896,123
0.22,0,61
0.24,0.194,52
0.24,0.2239,64
0.34,0.1642,75
0.38,0.3881,63
0.38,0.3284,76
0.36,0.2985,103
0.36,0.5224,190
0.34,0.5522,182
0.28,0.4925,91
0.24,0.5522,75
0.22,0.3284,63
0.22,0.2537,40
0.2,0.4478,32
0.2,0.4478,12
0.2,0.5224,5
0.18,0.2537,2
0.18,0.2537,1
0.16,0.2985,2
0.16,0.3582,39
0.14,0.3284,87
0.14,0.3582,188
0.16,0.2985,133
0.18,0.3284,52
0.18,0.4478,64
0.2,0.3582,69
0.2,0.4179,51
0.22,0.3881,47
0.22,0.3284,60
0.22,0.2537,78
0.2,0.194,175
0.2,0.1642,147
0.2,0,96
0.2,0.0896,109
0.18,0.1045,54
0.18,0.0896,41
0.2,0.1045,38
0.2,0,13
0.16,0,7
0.14,0.1045,1
0.14,0.1045,1
0.14,0.1343,7
0.16,0,28
0.14,0,87
0.14,0.1343,220
0.16,0.1343,127
0.2,0.1343,51
0.22,0.1642,64
0.24,0.1642,86
0.26,0.2239,82
0.28,0.1642,91
0.28,0.2537,90
0.3,0.2239,99
0.26,0.1343,205
0.24,0.1045,155
0.24,0.1343,103
0.24,0.1642,71
0.24,0.1642,43
0.24,0.1642,46
0.24,0.1343,31
0.24,0.1642,39
0.24,0.1642,18
0.24,0.1642,17
0.24,0.1642,11
0.22,0.1343,8
0.2,0.0896,9
0.2,0,4
0.22,0.0896,4
0.2,0.0896,10
0.2,0.0896,20
0.2,0.1343,34
0.22,0.1343,47
0.22,0.1642,52
0.22,0.1642,72
0.22,0,55
0.22,0,60
0.22,0.1343,71
0.24,0.2836,78
0.28,0.4478,83
0.28,0.4478,84
0.3,0.2537,69
0.26,0.194,56
0.26,0.1343,45
0.26,0.2239,59
0.26,0.194,39
0.26,0.4179,44
0.26,0.3284,20
0.26,0.0896,13
0.26,0.3582,2
0.26,0.2239,1
0.26,0.2239,1
0.24,0.1642,8
0.24,0.1045,23
0.28,0.1045,45
0.3,0.2537,89
0.32,0.2537,117
0.34,0,174
0.34,0,182
0.34,0.0896,161
0.34,0.0896,182
0.34,0.1045,157
0.34,0,121
0.3,0.1642,78
0.28,0.1343,21
0.28,0.1045,26
0.26,0,27
0.26,0,62
0.24,0,30
0.24,0,15
0.22,0,5
0.2,0,3
0.2,0,1
0.2,0,2
0.2,0,10
0.18,0,30
0.18,0,95
0.16,0,230
0.22,0,118
0.24,0.1045,55
0.3,0.0896,47
0.32,0,66
0.36,0.0896,64
0.36,0.0896,60
0.38,0.0896,50
0.36,0.1343,114
0.32,0.1642,216
0.34,0.1343,175
0.32,0,128
0.32,0.1045,88
0.32,0,78
0.28,0.0896,37
0.3,0,25
0.28,0,10
0.28,0,4
0.26,0.1045,2
0.28,0.1642,1
0.26,0.1642,3
0.26,0.3284,2
0.26,0.3284,39
0.24,0.4179,100
0.24,0.4925,243
0.24,0.4925,135
0.22,0.5522,48
0.22,0.4627,50
0.24,0.4925,65
0.24,0.4478,50
0.22,0.4179,64
0.22,0.3881,51
0.22,0.5224,83
0.22,0.5821,176
0.2,0.3881,152
0.16,0.4627,101
0.16,0.3284,56
0.14,0.4627,54
0.12,0.3582,29
0.12,0.3284,12
0.1,0.3582,17
0.1,0.2239,7
0.08,0.2836,3
0.06,0.1343,2
0.06,0.1045,7
0.06,0,43
0.06,0.1045,99
0.1,0,199
0.12,0.1642,123
0.14,0,59
0.14,0.1642,41
0.18,0.2239,61
0.18,0.2537,69
0.2,0.2985,58
0.2,0.2836,64
0.2,0.2537,79
0.2,0.2537,166
0.18,0.2985,170
0.14,0.2537,88
0.14,0.1642,84
0.14,0.1642,83
0.16,0.1642,46
0.16,0.194,37
0.14,0.194,16
0.14,0.1343,7
0.14,0.1343,3
0.14,0.2239,1
0.12,0.2239,6
0.12,0.2836,26
0.1,0.4179,99
0.1,0.3284,178
0.12,0.3582,122
0.12,0.2985,35
0.14,0.3582,45
0.16,0.3881,69
0.18,0.2985,62
0.2,0.2836,48
0.2,0.2537,50
0.2,0.2985,80
0.18,0.194,165
0.16,0.1343,160
0.14,0.1045,112
0.14,0.0896,97
0.14,0,72
0.12,0,51
0.12,0.1045,34
0.1,0.1045,14
0.1,0.0896,7
0.1,0.0896,3
0.08,0.0896,4
0.1,0,24
0.08,0,74
0.1,0.1642,216
0.12,0.2239,140
0.14,0.194,44
0.22,0.1343,64
0.22,0.1343,71
0.24,0.194,110
0.3,0.2537,84
0.32,0.1642,74
0.3,0.194,125
0.3,0,211
0.28,0,174
0.26,0,101
0.22,0.1343,63
0.2,0.1343,47
0.2,0.0896,43
0.18,0,53
0.16,0.0896,30
0.14,0,24
0.14,0,15
0.12,0,10
0.12,0.0896,4
0.12,0.0896,1
0.12,0.194,2
0.12,0.1045,11
0.14,0.1343,30
0.16,0.1343,43
0.22,0.2537,84
0.3,0.3284,114
0.3,0.4627,120
0.3,0.4179,135
0.34,0.2836,120
0.34,0.4179,174
0.34,0.4179,145
0.32,0.5224,137
0.28,0.3284,64
0.28,0.1642,41
0.26,0.2239,40
0.26,0,51
0.24,0.0896,45
0.22,0.1343,32
0.2,0.1045,39
0.2,0.0896,24
0.2,0.0896,20
0.2,0.1045,12
0.2,0.1642,2
0.2,0.1343,5
0.22,0,3
0.22,0.194,12
0.24,0.2239,47
0.3,0.3284,105
0.32,0.4478,112
0.36,0.4627,152
0.38,0.3582,154
0.4,0.4179,161
0.4,0.2985,162
0.42,0.3284,134
0.42,0.3284,125
0.4,0.2985,95
0.4,0.2836,61
0.4,0.3284,47
0.4,0.3582,51
0.4,0.2985,36
0.4,0.3582,30
0.38,0.3582,11
0.38,0.3582,7
0.36,0.2985,2
0.34,0.2239,2
0.32,0.2836,2
0.32,0.2836,3
0.34,0.2985,26
0.34,0.2985,98
0.38,0.4627,256
0.4,0.3881,130
0.44,0.2239,55
0.52,0.2537,53
0.56,0.4478,126
0.58,0.3881,120
0.6,0.4925,90
0.56,0.6567,90
0.52,0.4627,118
0.46,0.6119,243
0.4,0.6119,205
0.38,0.4925,98
0.36,0.4627,70
0.36,0.5224,43
0.34,0.6567,45
0.32,0.4925,20
0.3,0.4179,19
0.3,0.7761,5
0.28,0.6866,3
0.22,0.5224,1
0.22,0.4627,4
0.2,0.3284,30
0.2,0.3582,105
0.2,0.3582,223
0.22,0.4478,110
0.24,0.2836,52
0.26,0.2537,57
0.28,0.2537,71
0.32,0.2239,82
0.34,0.2239,79
0.34,0.1642,85
0.34,0.2537,98
0.32,0.2239,206
0.3,0.1343,212
0.28,0.1343,145
0.26,0.1045,101
0.24,0,66
0.24,0,41
0.22,0.0896,20
0.22,0.0896,15
0.2,0.0896,9
0.2,0.194,1
0.2,0.194,1
0.2,0.194,5
0.2,0.2239,33
0.2,0.2239,108
0.22,0.1642,230
0.24,0.2836,124
0.26,0.3881,69
0.34,0.2985,66
0.38,0.3284,86
0.42,0.3582,93
0.46,0.4179,82
0.46,0.4179,117
0.46,0.3881,122
0.46,0.2836,255
0.4,0.2239,222
0.34,0.2239,161
0.38,0.194,118
0.36,0.194,92
0.34,0.194,73
0.38,0.2239,33
0.34,0.194,17
0.34,0.2239,6
0.34,0.2239,6
0.34,0.194,4
0.32,0.194,4
0.32,0.0896,12
0.3,0.1343,47
0.32,0.1045,126
0.32,0.0896,285
0.36,0.194,179
0.38,0.194,88
0.44,0.2537,90
0.48,0.2239,101
0.54,0.2239,123
0.6,0.2239,81
0.6,0.2537,106
0.56,0.2985,146
0.58,0.2985,274
0.54,0.2836,222
0.48,0.3284,175
0.48,0.3284,139
0.52,0.3881,124
0.5,0.2836,76
0.46,0.2985,44
0.44,0.2836,32
0.44,0.2239,8
0.44,0.2836,7
0.46,0.2537,8
0.46,0.2537,1
0.46,0.1045,7
0.44,0.1642,50
0.42,0.2239,116
0.42,0.194,272
0.42,0.194,169
0.44,0.2239,95
0.44,0.1642,113
0.5,0.194,185
0.6,0.194,176
0.66,0.2985,191
0.66,0.3284,172
0.66,0.2836,232
0.66,0.3582,327
0.64,0.3284,224
0.62,0.5821,162
0.6,0.194,124
0.58,0.4925,72
0.54,0.2537,107
0.52,0.2836,77
0.48,0.4925,29
0.46,0.4179,31
0.44,0.3881,17
0.42,0.2985,7
0.4,0.3284,3
0.4,0.3284,3
0.4,0.4179,6
0.38,0.5224,22
0.38,0.5821,45
0.4,0.6567,55
0.42,0.5821,106
0.44,0.5821,123
0.44,0.4925,119
0.44,0.6119,155
0.46,0.6567,196
0.44,0.7463,171
0.44,0.6418,120
0.42,0.6119,127
0.36,0.4478,88
0.34,0.3582,59
0.32,0.5224,47
0.32,0.5522,33
0.3,0.4925,44
0.28,0.4478,29
0.26,0.4478,17
0.24,0.4627,16
0.24,0.5522,17
0.22,0.5522,18
0.22,0.5522,1
0.2,0.2985,2
0.18,0.2537,2
0.2,0.1045,24
0.22,0.2836,55
0.26,0.194,104
0.3,0.1642,161
0.3,0.1045,182
0.34,0,198
0.36,0.1642,212
0.36,0.0896,168
0.36,0.0896,147
0.34,0.1642,146
0.34,0.1343,101
0.34,0.1343,42
0.34,0,42
0.32,0,56
0.32,0.2239,47
0.3,0.1642,54
0.34,0.3284,37
0.34,0.3284,13
0.34,0.3284,4
0.34,0.2985,5
0.32,0.1642,1
0.34,0,3
0.42,0.2985,8
0.42,0.2836,19
0.32,0.2985,63
0.32,0.2836,57
0.32,0.2537,81
0.32,0.1045,90
0.32,0.194,93
0.3,0.3284,103
0.32,0.2537,116
0.3,0.4478,87
0.28,0.4179,56
0.28,0.3881,80
0.24,0.3582,66
0.24,0.3582,49
0.24,0.3881,29
0.22,0.4478,34
0.2,0.4179,11
0.2,0.4179,2
0.12,0.2836,7
0.12,0.2836,40
0.12,0.2537,114
0.14,0.2537,106
0.16,0,44
0.16,0,50
0.2,0.1045,55
0.22,0.1642,55
0.22,0.194,58
0.24,0.194,69
0.22,0.1642,86
0.22,0.2239,196
0.22,0.1343,167
0.2,0.2836,118
0.2,0.2239,105
0.2,0.2537,82
0.16,0.2537,77
0.16,0.2537,21
0.14,0.194,6
0.14,0.1642,4
0.12,0.1343,1
0.12,0.1642,2
0.12,0.1045,8
0.12,0.1045,36
0.12,0.1343,96
0.14,0.1642,235
0.18,0.0896,139
0.2,0,51
0.24,0.1045,69
0.26,0.0896,67
0.3,0.0896,87
0.32,0.1045,78
0.34,0.0896,72
0.34,0,94
0.34,0.0896,222
0.32,0.0896,209
0.3,0,141
0.24,0.1642,109
0.24,0,91
0.24,0,61
0.22,0.0896,39
0.22,0.0896,11
0.22,0.0896,7
0.2,0.0896,4
0.2,0.1343,2
0.2,0.1343,4
0.2,0.194,58
0.2,0.194,104
0.24,0.2239,252
0.24,0.2985,137
0.26,0.2836,57
0.32,0.3881,79
0.36,0.3582,95
0.38,0.2985,88
0.4,0.2985,69
0.4,0.3881,63
0.38,0.2836,71
0.36,0.194,177
0.34,0.3284,137
0.34,0.2985,115
0.34,0.3582,89
0.34,0.3284,83
0.34,0.2836,55
0.32,0.2239,50
0.32,0,9
0.32,0,10
0.32,0,3
0.32,0.1045,2
0.32,0.1045,6
0.34,0.0896,11
0.34,0.1343,35
0.36,0.1343,73
0.34,0.3582,114
0.42,0.3284,49
0.52,0.4478,59
0.54,0.4627,115
0.54,0.4627,83
0.56,0.6119,85
0.46,0.806,55
0.32,0.4627,102
0.32,0.7463,189
0.32,0.4925,157
0.3,0.4478,90
0.3,0.6119,62
0.28,0.3881,63
0.26,0.4478,50
0.26,0.3284,39
0.24,0.194,28
0.24,0.2985,27
0.22,0.3582,12
0.22,0.1343,8
0.22,0.0896,2
0.22,0.1045,10
0.22,0,7
0.22,0.0896,22
0.24,0,57
0.26,0.1642,74
0.3,0.1343,85
0.3,0,126
0.32,0.1642,160
0.34,0.2537,174
0.34,0.3284,211
0.36,0.2836,165
0.36,0.2836,171
0.36,0.2239,183
0.34,0.194,137
0.32,0.2537,94
0.3,0.1642,68
0.28,0.2537,68
0.28,0.2239,46
0.28,0.2836,34
0.26,0.2836,34
0.26,0.194,37
0.26,0.1343,22
0.26,0.0896,11
0.24,0.1343,2
0.24,0,3
0.24,0.1343,14
0.26,0,35
0.28,0.0896,59
0.3,0.1642,103
0.36,0.1343,125
0.4,0.0896,193
0.42,0,259
0.44,0.0896,282
0.46,0.1343,261
0.48,0.1642,268
0.42,0.194,187
0.4,0.194,127
0.4,0.1343,102
0.4,0.0896,81
0.38,0.1642,69
0.38,0.1045,69
0.36,0.1642,59
0.36,0.1045,30
0.34,0.3582,8
0.32,0.1642,1
0.34,0,5
0.34,0.1045,28
0.36,0.1045,92
0.34,0.2985,255
0.42,0.2836,142
0.52,0.4925,92
